Date,Open,High,Low,Close,Adj,CloseVolume
1980-03-01,0.000000,1.181637,1.058953,1.168723,0.016571,8950800
1980-04-01,0.000000,1.291406,1.149352,1.220379,0.017303,20474800
1980-05-01,0.000000,1.459289,1.188094,1.439918,0.020416,32428000
1980-06-01,0.000000,1.459289,1.343063,1.420547,0.020142,19478800
1980-07-01,0.000000,1.439918,1.330148,1.420547,0.020142,32276000
1980-08-01,0.000000,1.581973,1.407633,1.446375,0.020508,24316800
1980-09-01,0.000000,1.523859,1.381805,1.427004,0.020233,16547200
1980-10-01,0.000000,1.439918,1.265578,1.304320,0.018494,22675600
1980-11-01,0.000000,1.381805,1.207465,1.265578,0.017944,36168000
1980-12-01,0.000000,1.414090,1.233293,1.394719,0.019775,22641200
1981-01-01,0.000000,1.543230,1.381805,1.485117,0.021057,21788800
1981-02-01,0.000000,1.510945,1.401176,1.504488,0.021332,22012400
1981-03-01,0.000000,1.846711,1.485117,1.724027,0.024445,44943200
1981-04-01,0.000000,1.814426,1.691742,1.736941,0.024628,25046800
1981-05-01,0.000000,1.807969,1.672371,1.788598,0.025360,23205200
1981-06-01,0.000000,2.040422,1.788598,1.956481,0.027741,24222400
1981-07-01,0.000000,1.937109,1.704656,1.846711,0.026184,22632000
1981-08-01,0.000000,1.846711,1.685285,1.788598,0.025360,18965600
1981-09-01,0.000000,1.924195,1.698199,1.853168,0.026276,32858800
1981-10-01,0.000000,1.988766,1.801512,1.956481,0.027741,27560800
1981-11-01,0.000000,1.969395,1.769227,1.898367,0.026917,28343600
1981-12-01,0.000000,1.982309,1.853168,1.853168,0.026276,18331600
1982-01-01,0.000000,1.827340,1.698199,1.775684,0.025177,28165600
1982-02-01,0.000000,1.982309,1.749856,1.950023,0.027649,24492400
1982-03-01,0.000000,2.014594,1.878996,1.988766,0.028198,38156000
1982-04-01,0.000000,2.137277,1.962937,2.117906,0.030029,53803200
1982-05-01,0.000000,2.176019,2.046879,2.059793,0.029205,20719600
1982-06-01,0.000000,2.201848,2.046879,2.163105,0.030670,39499200
1982-07-01,0.000000,2.376188,2.098535,2.221219,0.031494,33893200
1982-08-01,0.000000,2.376188,1.995223,2.292246,0.032501,44251200
1982-09-01,0.000000,2.434301,2.143734,2.292246,0.032501,52259200
1982-10-01,0.000000,2.802351,2.227676,2.634469,0.037354,44087200
1982-11-01,0.000000,2.828180,2.473043,2.569898,0.036438,41288000
1982-12-01,0.000000,2.634469,2.408473,2.518242,0.035706,47426000
1983-01-01,0.000000,2.550527,2.285789,2.395559,0.033966,60754800
1983-02-01,0.000000,2.576355,2.343902,2.556984,0.036255,44808000
1983-03-01,0.000000,2.866922,2.466586,2.711953,0.038452,37426800
1983-04-01,0.000000,2.905664,2.595726,2.866922,0.040649,48448800
1983-05-01,0.000000,2.983148,2.782980,2.931492,0.041565,56772000
1983-06-01,3.406250,3.523440,2.692582,3.453120,0.048961,74708000
1983-07-01,2.834637,2.905664,2.582813,2.621555,0.037170,32610400
1983-08-01,2.608641,2.660297,2.460129,2.595726,0.037147,42541200
1983-09-01,2.595726,2.847551,2.453672,2.498871,0.035761,49510000
1983-10-01,2.414930,2.802351,2.414930,2.763609,0.039550,72628000
1983-11-01,2.789438,2.944406,2.673211,2.724867,0.039411,52668000
1983-12-01,2.731324,2.821723,2.640926,2.699039,0.039037,39378000
1984-01-01,2.666754,2.776523,2.615098,2.647383,0.038290,36090000
1984-02-01,2.647383,2.647383,2.292246,2.453672,0.035839,42934000
1984-03-01,2.453672,2.479500,2.376188,2.408473,0.035179,25458400
1984-04-01,2.408473,2.595726,2.350359,2.537613,0.037065,22145600
1984-05-01,2.537613,2.660297,2.518242,2.582813,0.038147,38499600
1984-06-01,2.608641,2.802351,2.582813,2.724867,0.040245,24765200
1984-07-01,2.731324,2.737781,2.595726,2.647383,0.039100,23123600
1984-08-01,2.634469,2.879836,2.634469,2.808809,0.041928,31552400
1984-09-01,2.802351,3.099375,2.770066,2.841094,0.042410,35856000
1984-10-01,2.841094,3.021891,2.640926,2.782980,0.041542,35585600
1984-11-01,2.789438,2.847551,2.556984,2.582813,0.038948,40995600
1984-12-01,2.576355,2.782980,2.498871,2.628012,0.039630,41077600
1985-01-01,2.621555,2.854008,2.466586,2.847551,0.042940,102181600
1985-02-01,2.841094,3.073547,2.834637,2.847551,0.043421,68211600
1985-03-01,2.847551,3.131660,2.821723,3.002520,0.045784,53766800
1985-04-01,3.002520,3.034805,2.718410,2.724867,0.041550,62297600
1985-05-01,2.737781,3.131660,2.686125,3.099375,0.047717,94993200
1985-06-01,3.112289,3.306000,2.944406,3.286629,0.050600,55204800
1985-07-01,3.273715,3.286629,2.879836,2.931492,0.045133,52212000
1985-08-01,2.918578,2.950863,2.847551,2.937949,0.045646,23654400
1985-09-01,2.937949,3.189773,2.886293,3.176859,0.049358,53385200
1985-10-01,3.176859,3.370570,3.138117,3.189773,0.049559,101740800
1985-11-01,3.176859,3.577195,3.073547,3.073547,0.048179,55875200
1985-12-01,3.086461,3.247887,2.937949,3.157488,0.049494,44703200
1986-01-01,3.151031,3.273715,2.918578,3.189773,0.050000,46054000
1986-02-01,3.196230,3.622395,3.105832,3.577195,0.068345,54761200
1986-03-01,3.577195,4.145414,3.551367,3.835477,0.073280,99728800
1986-04-01,3.822562,3.900047,3.551367,3.609480,0.068962,56111200
1986-05-01,3.596566,4.022730,3.564281,4.003359,0.090335,53768800
1986-06-01,4.016273,4.326211,3.829020,4.287469,0.096745,46199600
1986-07-01,4.293926,4.597406,4.113129,4.468266,0.100825,57209600
1986-08-01,4.494094,4.687805,4.390781,4.481180,0.116250,45600000
1986-09-01,4.468266,4.507008,3.861305,4.087301,0.106032,81992400
1986-10-01,4.074387,4.610320,3.996902,4.558664,0.118260,78518000
1986-11-01,4.558664,4.894430,4.029188,4.610320,0.141887,57450000
1986-12-01,4.597406,4.623234,4.209984,4.455351,0.137118,49118000
1987-01-01,4.442438,5.152711,4.442438,4.971914,0.153016,57740000
1987-02-01,4.971914,5.359336,4.855688,5.217281,0.172727,33142800
1987-03-01,5.256023,5.617617,5.139797,5.268938,0.174437,46847600
1987-04-01,5.191453,5.449734,4.442438,4.687805,0.155197,51111600
1987-05-01,4.661976,5.785500,4.610320,5.578875,0.196396,95699600
1987-06-01,5.656359,6.082523,5.462648,5.746758,0.202306,59358400
1987-07-01,5.733844,5.992125,5.398078,5.914640,0.208216,45952800
1987-08-01,5.888813,6.418289,5.656359,6.043781,0.228641,57389600
1987-09-01,6.043781,6.121265,5.514305,5.992125,0.226687,44615600
1987-10-01,5.992125,6.121265,4.209984,5.062313,0.191511,88500000
1987-11-01,5.062313,5.088140,4.442438,4.545750,0.184020,41274400
1987-12-01,4.571578,5.191453,4.287469,5.126883,0.207545,64333200
1988-01-01,5.101055,5.449734,4.881516,5.191453,0.210159,49481600
1988-02-01,5.204367,5.294765,4.920258,5.191453,0.227943,38196000
1988-03-01,5.217281,5.307680,4.752375,4.907344,0.215469,64458000
1988-04-01,4.855688,5.088140,4.700719,4.804031,0.210933,48719200
1988-05-01,4.804031,4.868602,4.455351,4.868602,0.232738,46084000
1988-06-01,4.894430,5.062313,4.713633,4.842773,0.231503,52018000
1988-07-01,4.765289,4.946086,4.636148,4.907344,0.234590,39681200
1988-08-01,4.946086,5.281852,4.920258,5.139797,0.272111,53018400
1988-09-01,5.139797,5.333508,5.023571,5.320594,0.281683,33229600
1988-10-01,5.268938,5.992125,5.243109,5.565961,0.294674,62804000
1988-11-01,5.565961,5.682188,5.062313,5.398078,0.313477,27302400
